,Unnamed: 0,filename,address,building_address_full,first_floor_elevation_ft,assessment_type,year_built,effective_year_built,roof_shape,roof_cover,wall_cladding,number_of_stories,building_address_full_cleaned,masked
177,392,Add%205 Copeland Ave N Everglades City Collier FL%Gable.jpg,205 Copeland Ave N Everglades City Collier Florida 34139 USA,205 Copeland Ave N Everglades City Collier Florida 34139 USA,0.0,Single Family Residence,1940.0,1940.0,Gable,Metal shingle,Wood panel siding,1.0,205CopelandAveNEvergladesCityCollierFlorida34139USA,0.0
178,559,Add%873 Chestnut Ct Marco Island Collier FL%Hip.jpg,873 Chestnut Ct Marco Island Collier FL 34145 US,873 Chestnut Ct Marco Island Collier FL 34145 US,0.0,Single Family Residence,1969.0,1969.0,Hip,Tile (clay),Stucco,1.0,873ChestnutCtMarcoIslandCollierFL34145US,0.0
180,427,Add%27721 Astrangia Avenue Little Torch Key Monroe County FL%Gable.jpg,27721 Astrangia Avenue Little Torch Key Monroe County Florida 33042 US,27721 Astrangia Avenue Little Torch Key Monroe County Florida 33042 US,2.0,Mobile Home,1985.0,1995.0,Gable,EPDM rubber roof,Sheet metal,1.0,27721AstrangiaAvenueLittleTorchKeyMonroeCountyFlorida33042US,0.0
181,348,Add%28430 Kingston Ln Little Torch Key Monroe FL%Gable.jpg,28430 Kingston Ln Little Torch Key Monroe FL 33042 US,28430 Kingston Ln Little Torch Key Monroe FL 33042 US,12.0,Single Family Residence,1985.0,1990.0,Gable,Standing Seam Metal,Wood plank siding,1.0,28430KingstonLnLittleTorchKeyMonroeFL33042US,0.0
182,347,Add%1249 Orange Ct Marco Island Collier FL%Complex.jpg,1249 Orange Ct Marco Island Collier FL 34145 US,1249 Orange Ct Marco Island Collier FL 34145 US,1.0,Single Family Residence,2011.0,2011.0,Complex,Tile (clay),Stucco,2.0,1249OrangeCtMarcoIslandCollierFL34145US,0.0
184,612,Add%3980 Hall Rd Big Pine Key Monroe FL%Gable.jpg,3980 Hall Rd Big Pine Key Monroe FL 33043 US,3980 Hall Rd Big Pine Key Monroe FL 33043 US,8.0,Single Family Residence,1985.0,2005.0,Gable,Asphalt shingles (laminated),Wood plank siding,1.0,3980HallRdBigPineKeyMonroeFL33043US,0.0
186,482,Add%110 Camellia St E Everglades City Collier FL%Gable.jpg,110 Camellia St E Everglades City Collier Florida 34139 USA,110 Camellia St E Everglades City Collier Florida 34139 USA,0.0,Single Family Residence,1935.0,1935.0,Gable,Standing Seam Metal,Vinyl siding,1.0,110CamelliaStEEvergladesCityCollierFlorida34139USA,0.0
187,683,Add%408 School Rd E Everglades City Collier County FL%Gable.jpg,408 School Rd E Everglades City Collier County Florida 34139 USA,408 School Rd E Everglades City Collier County Florida 34139 USA,2.0,Single Family Residence,1949.0,1957.0,Gable,Standing Seam Metal,Vinyl siding,1.0,408SchoolRdEEvergladesCityCollierCountyFlorida34139USA,0.0
188,120,Add%406 North Storter Avenue Everglades City Collier County FL%Gable.jpg,406 North Storter Avenue Everglades City Collier County Florida 34139 United States,406 North Storter Avenue Everglades City Collier County Florida 34139 United States,8.0,Single Family Residence,1965.0,2008.0,Gable,Standing Seam Metal,Vinyl siding,1.0,406NorthStorterAvenueEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
189,298,Add%338 Porter St Naples Collier FL%Hip.jpg,338 Porter St Naples Collier FL 34113 US,338 Porter St Naples Collier FL 34113 US,0.0,Single Family Residence,2002.0,2002.0,Hip,Asphalt shingles (laminated),Stucco,1.0,338PorterStNaplesCollierFL34113US,0.0
190,368,Add%959 South Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,959 South Joy Circle Marco Island Collier County Florida 34145 United States,959 South Joy Circle Marco Island Collier County Florida 34145 United States,1.75,Single Family Residence,1993.0,1993.0,"Hip,Complex",Tile (clay),Stucco,2.0,959SouthJoyCircleMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
191,190,Add%521 W Goodland Drive Goodland Collier County FL%Hip.jpg,521 W Goodland Drive Goodland Collier County Florida 34140 United States,521 W Goodland Drive Goodland Collier County Florida 34140 United States,8.0,Single Family Residence,2008.0,2008.0,Hip,Standing Seam Metal,Stucco,2.0,521WGoodlandDriveGoodlandCollierCountyFlorida34140UnitedStates,0.0
192,474,Add%109 Barefoot Williams Rd Naples Collier FL%Gable.jpg,109 Barefoot Williams Rd Naples Collier FL 34113 US,109 Barefoot Williams Rd Naples Collier FL 34113 US,2.0,Mobile Home,1984.0,1984.0,Gable,Metal shingle,Vinyl siding,1.0,109BarefootWilliamsRdNaplesCollierFL34113US,0.0
193,539,Add%408 Buckner Avenue North Everglades City Collier County FL%Gable.jpg,408 Buckner Avenue North Everglades City Collier County Florida 34139 United States,408 Buckner Avenue North Everglades City Collier County Florida 34139 United States,8.0,Single Family Residence,1970.0,1970.0,Gable,Standing Seam Metal,Vinyl siding,1.0,408BucknerAvenueNorthEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
194,178,Add%969 South Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,969 South Joy Circle Marco Island Collier County Florida 34145 US,969 South Joy Circle Marco Island Collier County Florida 34145 US,1.75,Single Family Residence,1999.0,1999.0,"Hip,Complex",Tile (clay),Stucco,1.0,969SouthJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
195,538,Add%G52 Miriam St Stock Island Monroe FL%Gable.jpg,G52 Miriam St Stock Island Monroe FL 33040,G52 Miriam St Stock Island Monroe FL 33040,8.0,Single Family Residence,2007.0,2007.0,Gable,Asphalt shingles (laminated),Vinyl siding,2.0,G52MiriamStStockIslandMonroeFL33040,0.0
196,191,Add%27454 St Lucie Ln Ramrod Key Monroe FL%Gable.jpg,27454 St Lucie Ln Ramrod Key Monroe FL 33042 US,27454 St Lucie Ln Ramrod Key Monroe FL 33042 US,8.0,Single Family Residence,1991.0,2003.0,Gable,Asphalt shingles (3-tab),Wood panel siding,1.0,27454StLucieLnRamrodKeyMonroeFL33042US,0.0
197,695,Add%421 Coral Ave Ramrod Key Monroe FL%Gable.jpg,421 Coral Ave Ramrod Key Monroe FL 33042 US,421 Coral Ave Ramrod Key Monroe FL 33042 US,10.0,Single Family Residence,1984.0,1995.0,Gable,Asphalt shingles (3-tab),Wood plank siding,1.0,421CoralAveRamrodKeyMonroeFL33042US,0.0
198,589,Add%27910 Porgie Path Little Torch Key Monroe FL%Gable.jpg,27910 Porgie Path Little Torch Key Monroe FL 33042 US,27910 Porgie Path Little Torch Key Monroe FL 33042 US,8.0,Mobile Home,1982.0,1982.0,Gable,Asphalt shingles (3-tab),Sheet metal,1.0,27910PorgiePathLittleTorchKeyMonroeFL33042US,0.0
199,635,Add%31479 Avenue G Big Pine Key Monroe County FL%Gable.jpg,31479 Avenue G Big Pine Key Monroe County Florida 33043 US,31479 Avenue G Big Pine Key Monroe County Florida 33043 US,9.0,Single Family Residence,1999.0,2004.0,Gable,Standing Seam Metal,Vinyl siding,1.0,31479AvenueGBigPineKeyMonroeCountyFlorida33043US,0.0
200,256,Add%871 Collier Ct Marco Island Collier FL%Gable.jpg,871 Collier Ct Marco Island Collier FL 34145 US,871 Collier Ct Marco Island Collier FL 34145 US,10.0,Apartment / Condo,1985.0,1985.0,Gable,Tile (clay),Stucco,2.0,871CollierCtMarcoIslandCollierFL34145US,0.0
201,154,Add%28H Miriam St Key West Monroe FL%Gable.jpg,28H Miriam St Key West Monroe FL 33040 US,28H Miriam St Key West Monroe FL 33040 US,9.0,Single Family Residence,2016.0,2016.0,Gable,Standing Seam Metal,Wood plank siding,1.0,28HMiriamStKeyWestMonroeFL33040US,0.0
202,5,Add%28553 Tortuga Rd Little Torch Key Monroe FL%Gable.jpg,28553 Tortuga Rd Little Torch Key Monroe FL 33042 US,28553 Tortuga Rd Little Torch Key Monroe FL 33042 US,8.0,Single Family Residence,1988.0,1995.0,Gable,Asphalt shingles (3-tab),Wood panel siding,1.0,28553TortugaRdLittleTorchKeyMonroeFL33042US,0.0
203,22,Add%10 Datura St W Everglades City Collier FL%Gable.jpg,10 Datura St W Everglades City Collier Florida 34139 USA,10 Datura St W Everglades City Collier Florida 34139 USA,2.0,Single Family Residence,1990.0,1990.0,Gable,Standing Seam Metal,Vinyl siding,1.0,10DaturaStWEvergladesCityCollierFlorida34139USA,0.0
204,376,Add%1099 86th Street Ocean Marathon Monroe County FL%Gable.jpg,1099 86th Street Ocean Marathon Monroe County Florida 33050 United States,1099 86th Street Ocean Marathon Monroe County Florida 33050 United States,0.0,Single Family Residence,1972.0,2012.0,Gable,Standing Seam Metal,Stucco,1.0,109986thStreetOceanMarathonMonroeCountyFlorida33050UnitedStates,0.0
205,76,Add%28240 Julia Ave Little Torch Key Monroe FL%Gable.jpg,28240 Julia Ave Little Torch Key Monroe FL 33042 US,28240 Julia Ave Little Torch Key Monroe FL 33042 US,8.0,Single Family Residence,2006.0,2006.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,28240JuliaAveLittleTorchKeyMonroeFL33042US,0.0
206,71,Add%106 Camellia St E Everglades City Naples FL%Gable.jpg,106 Camellia St E Everglades City Naples Florida 34139 USA,106 Camellia St E Everglades City Naples Florida 34139 USA,2.0,Single Family Residence,1935.0,1935.0,Gable,Metal shingle,Vinyl siding,1.0,106CamelliaStEEvergladesCityNaplesFlorida34139USA,0.0
207,252,Add%767 La Fitte Rd Little Torch Key Monroe FL%Flat.jpg,767 La Fitte Rd Little Torch Key Monroe FL 33042 US,767 La Fitte Rd Little Torch Key Monroe FL 33042 US,8.0,Single Family Residence,1998.0,2002.0,Flat,Asphalt shingles (3-tab),Stucco,2.0,767LaFitteRdLittleTorchKeyMonroeFL33042US,0.0
208,119,Add%908 South Joy Circle Marco Island Collier County FL%Hip_Complex.jpg,908 South Joy Circle Marco Island Collier County Florida 34145 US,908 South Joy Circle Marco Island Collier County Florida 34145 US,0.0,Single Family Residence,1996.0,1996.0,"Hip,Complex",Tile (clay),Stucco,1.0,908SouthJoyCircleMarcoIslandCollierCountyFlorida34145US,0.0
209,556,Add%23046 Tarpon Ln Cudjoe Key Monroe FL%Hip.jpg,23046 Tarpon Ln Cudjoe Key Monroe FL 33042 US,23046 Tarpon Ln Cudjoe Key Monroe FL 33042 US,9.0,Single Family Residence,1977.0,2005.0,Hip,Standing Seam Metal,Wood panel siding,1.0,23046TarponLnCudjoeKeyMonroeFL33042US,0.0
210,260,Add%565 Coconut Ave Goodland Collier FL%Gable.jpg,565 Coconut Ave Goodland Collier FL 34140 US,565 Coconut Ave Goodland Collier FL 34140 US,8.0,Single Family Residence,1971.0,1971.0,Gable,Standing Seam Metal,Wood panel siding,2.0,565CoconutAveGoodlandCollierFL34140US,0.0
211,535,Add%156 Spanish Main Dr Cudjoe Key Monroe FL%Gable.jpg,156 Spanish Main Dr Cudjoe Key Monroe Florida 33042 United States,156 Spanish Main Dr Cudjoe Key Monroe Florida 33042 United States,12.0,Single Family Residence,1986.0,1986.0,Gable,Standing Seam Metal,Wood panel siding,1.0,156SpanishMainDrCudjoeKeyMonroeFlorida33042UnitedStates,0.0
212,143,Add%31165 Avenue E Big Pine Key Monroe County FL%Gable.jpg,31165 Avenue E Big Pine Key Monroe County Florida 33043 United States,31165 Avenue E Big Pine Key Monroe County Florida 33043 United States,8.0,Single Family Residence,2007.0,2007.0,Gable,Asphalt shingles (3-tab),Vinyl siding,1.0,31165AvenueEBigPineKeyMonroeCountyFlorida33043UnitedStates,0.0
213,458,Add%27 N Conch Ave Conch Key Monroe FL%Flat.jpg,27 N Conch Ave Conch Key Monroe Florida 33050 United States,27 N Conch Ave Conch Key Monroe Florida 33050 United States,2.0,Mobile Home,1969.0,1982.0,Flat,Standing Seam Metal,Sheet metal,1.0,27NConchAveConchKeyMonroeFlorida33050UnitedStates,0.0
214,73,Add%28594 Tortuga Rd Little Torch Key Monroe FL%Gable.jpg,28594 Tortuga Rd Little Torch Key Monroe FL 33042 US,28594 Tortuga Rd Little Torch Key Monroe FL 33042 US,8.0,Single Family Residence,1987.0,1997.0,Gable,Standing Seam Metal,Vinyl siding,2.0,28594TortugaRdLittleTorchKeyMonroeFL33042US,0.0
215,607,Add%2203 Rockledge Drive Rockledge Brevard County FL%Complex.jpg,2203 Rockledge Drive Rockledge Brevard County Florida 32955 United States,2203 Rockledge Drive Rockledge Brevard County Florida 32955 United States,0.0,Single Family Residence,1982.0,2005.0,Complex,Asphalt shingles (3-tab),Vinyl siding,2.0,2203RockledgeDriveRockledgeBrevardCountyFlorida32955UnitedStates,0.0
216,503,Add%920 San Marco Rd Marco Island Collier FL%Hip.jpg,920 San Marco Rd Marco Island Collier FL 34145 US,920 San Marco Rd Marco Island Collier FL 34145 US,0.0,Single Family Residence,1999.0,1999.0,Hip,Tile (clay),Stucco,1.0,920SanMarcoRdMarcoIslandCollierFL34145US,0.0
217,87,Add%458 Southwest 20th Road Miami Miami-Dade County FL%Complex.jpg,458 Southwest 20th Road Miami Miami-Dade County Florida 33129 United States,458 Southwest 20th Road Miami Miami-Dade County Florida 33129 United States,0.0,Single Family Residence,1996.0,1996.0,Complex,Tile (clay),Stucco,2.0,458Southwest20thRoadMiamiMiami-DadeCountyFlorida33129UnitedStates,0.0
218,30,Add%27995 Tarpon Ter Little Torch Key Monroe County FL%Flat.jpg,27995 Tarpon Ter Little Torch Key Monroe County Florida 33042 US,27995 Tarpon Ter Little Torch Key Monroe County Florida 33042 US,2.0,Mobile Home,1980.0,1993.0,Flat,EPDM rubber roof,Sheet metal,1.0,27995TarponTerLittleTorchKeyMonroeCountyFlorida33042US,0.0
219,94,Add%1132 Edington Pl Marco Island Collier FL%Complex.jpg,1132 Edington Pl Marco Island Collier FL 34145 US,1132 Edington Pl Marco Island Collier FL 34145 US,0.0,Single Family Residence,1998.0,1998.0,Hip,Tile (clay),Stucco,1.0,1132EdingtonPlMarcoIslandCollierFL34145US,0.0
221,192,Add%572 Coconut Ave Goodland Collier FL%Gable.jpg,572 Coconut Ave Goodland Collier FL 34140 US,572 Coconut Ave Goodland Collier FL 34140 US,8.0,Single Family Residence,1975.0,1975.0,Gable,Asphalt shingles (3-tab),Vinyl siding,2.0,572CoconutAveGoodlandCollierFL34140US,0.0
222,691,Add%480 Rio Court Marco Island Collier County FL%Hip_Complex.jpg,480 Rio Court Marco Island Collier County Florida 34145 United States,480 Rio Court Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,2001.0,2001.0,"Hip,Complex",Tile (clay),Stucco,1.0,480RioCourtMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
223,526,Add%502 Copeland Ave N Everglades City Collier FL%Gable.jpg,502 Copeland Ave N Everglades City Collier Florida 34139 USA,502 Copeland Ave N Everglades City Collier Florida 34139 USA,8.0,Single Family Residence,1984.0,1984.0,Gable,Standing Seam Metal,Vinyl siding,2.0,502CopelandAveNEvergladesCityCollierFlorida34139USA,0.0
224,534,Add%1140 Edington Pl Marco Island Collier FL%Hip.jpg,1140 Edington Pl Marco Island Collier FL 34145 US,1140 Edington Pl Marco Island Collier FL 34145 US,0.0,Single Family Residence,1969.0,1969.0,Hip,Asphalt shingles (3-tab),Stucco,1.0,1140EdingtonPlMarcoIslandCollierFL34145US,0.0
227,123,Add%1000 80th St Marathon Monroe FL%Hip.jpg,1000 80th St Marathon Monroe FL 33050 US,1000 80th St Marathon Monroe FL 33050 US,8.0,Single Family Residence,1993.0,2003.0,Hip,Tile (clay),Stucco,1.0,100080thStMarathonMonroeFL33050US,0.0
230,579,Add%4 Spanish Trl Naples Collier FL%Gable.jpg,4 Spanish Trl Naples Collier FL 34113 US,4 Spanish Trl Naples Collier FL 34113 US,2.0,Mobile Home,1987.0,1987.0,Gable,EPDM rubber roof,Vinyl siding,1.0,4SpanishTrlNaplesCollierFL34113US,0.0
231,572,Add%31587 Avenue D Big Pine Key Monroe FL%Gable.jpg,31587 Avenue D Big Pine Key Monroe FL 33043 US,31587 Avenue D Big Pine Key Monroe FL 33043 US,0.0,Single Family Residence,1969.0,1989.0,Gable,Standing Seam Metal,Sheet metal,1.0,31587AvenueDBigPineKeyMonroeFL33043US,0.0
232,537,Add%470 Rio Court Marco Island Collier County FL%Hip_Complex.jpg,470 Rio Court Marco Island Collier County Florida 34145 US,470 Rio Court Marco Island Collier County Florida 34145 US,0.0,Single Family Residence,2002.0,2002.0,"Hip,Complex",Tile (clay),Stucco,1.0,470RioCourtMarcoIslandCollierCountyFlorida34145US,0.0
233,548,Add%813 Chestnut Ct Marco Island Collier FL%Hip.jpg,813 Chestnut Ct Marco Island Collier FL 34145 US,813 Chestnut Ct Marco Island Collier FL 34145 US,0.0,Single Family Residence,1965.0,1965.0,Hip,Tile (clay),Wood panel siding,1.0,813ChestnutCtMarcoIslandCollierFL34145US,0.0
234,418,Add%31325 Avenue G Big Pine Key Monroe FL%Flat.jpg,31325 Avenue G Big Pine Key Monroe FL 33043 US,31325 Avenue G Big Pine Key Monroe FL 33043 US,0.0,Mobile Home,1976.0,1986.0,Flat,"Asphalt shingles (laminated),EPDM rubber roof","Stucco,Sheet metal",1.0,31325AvenueGBigPineKeyMonroeFL33043US,0.0
235,212,Add%113 Barefoot Williams Rd Naples Collier FL%Gable.jpg,113 Barefoot Williams Rd Naples Collier FL 34113 US,113 Barefoot Williams Rd Naples Collier FL 34113 US,2.0,Mobile Home,1991.0,1991.0,Gable,Asphalt shingles (3-tab),Wood plank siding,1.0,113BarefootWilliamsRdNaplesCollierFL34113US,0.0
236,83,Add%43 & 44 7th Ave South Stock Island Monroe FL%Gable.jpg,43 & 44 7th Ave South Stock Island Monroe FL 33040 US,43 & 44 7th Ave South Stock Island Monroe FL 33040 US,8.0,Single Family Residence,2007.0,2010.0,Gable,Standing Seam Metal,Vinyl siding,2.0,43&447thAveSouthStockIslandMonroeFL33040US,0.0
237,137,Add%238 Spanish Main Dr Cudjoe Key Monroe FL%Gable_Complex.jpg,238 Spanish Main Dr Cudjoe Key Monroe FL 33042 US,238 Spanish Main Dr Cudjoe Key Monroe FL 33042 US,8.0,Single Family Residence,1993.0,2005.0,"Gable,Complex",Asphalt shingles (3-tab),Vinyl siding,2.0,238SpanishMainDrCudjoeKeyMonroeFL33042US,0.0
238,288,Add%203 Copeland Ave Everglades City Collier FL%Hip.jpg,203 Copeland Ave Everglades City Collier Florida 34139 USA,203 Copeland Ave Everglades City Collier Florida 34139 USA,2.0,Single Family Residence,1940.0,1940.0,Hip,Asphalt shingles (laminated),Wood plank siding,1.0,203CopelandAveEvergladesCityCollierFlorida34139USA,0.0
239,92,Add%320 Pear tree Ave Goodland Collier FL%Hip.jpg,320 Pear tree Ave Goodland Collier FL 34140 US,320 Pear tree Ave Goodland Collier FL 34140 US,1.0,Single Family Residence,1913.0,1913.0,Hip,Standing Seam Metal,Wood panel siding,1.0,320PeartreeAveGoodlandCollierFL34140US,0.0
240,319,Add%1249 Fruitland Avenue Marco Island Collier County FL%Hip_Complex.jpg,1249 Fruitland Avenue Marco Island Collier County Florida 34145 United States,1249 Fruitland Avenue Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1967.0,2012.0,"Hip,Complex",Tile (concrete),Brick veneer,1.0,1249FruitlandAvenueMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
241,57,Add%27935 Tarpon Terrace Little Torch Key Monroe County FL%Gable.jpg,27935 Tarpon Terrace Little Torch Key Monroe County Florida 33042 US,27935 Tarpon Terrace Little Torch Key Monroe County Florida 33042 US,2.0,Mobile Home,1987.0,1995.0,Gable,EPDM rubber roof,Sheet metal,1.0,27935TarponTerraceLittleTorchKeyMonroeCountyFlorida33042US,0.0
243,541,Add%29653 Coral Rd Big Pine Key Monroe FL%Complex.jpg,29653 Coral Rd Big Pine Key Monroe FL 33043 US,29653 Coral Rd Big Pine Key Monroe FL 33043 US,9.0,Single Family Residence,1993.0,2001.0,Complex,Standing Seam Metal,Wood plank siding,1.0,29653CoralRdBigPineKeyMonroeFL33043US,0.0
244,540,Add%19672 Indian Mound Dr Sugarloaf Key Monroe FL%Gable.jpg,19672 Indian Mound Dr Sugarloaf Key Monroe FL 33042 US,19672 Indian Mound Dr Sugarloaf Key Monroe FL 33042 US,3.0,Single Family Residence,1953.0,1995.0,Gable,Standing Seam Metal,Vinyl siding,1.0,19672IndianMoundDrSugarloafKeyMonroeFL33042US,0.0
245,590,Add%237 Goodland Dr E Goodland Collier FL%Gable.jpg,237 Goodland Dr E Goodland Collier FL 34140 US,237 Goodland Dr E Goodland Collier FL 34140 US,14.0,Single Family Residence,2001.0,2001.0,Gable,Standing Seam Metal,Vinyl siding,1.0,237GoodlandDrEGoodlandCollierFL34140US,0.0
247,437,Add%505 W Goodland Dr Goodland Collier FL%Gable.jpg,505 W Goodland Dr Goodland Collier FL 34140 US,505 W Goodland Dr Goodland Collier FL 34140 US,8.0,Single Family Residence,1967.0,1956.0,Gable,Standing Seam Metal,Wood panel siding,1.0,505WGoodlandDrGoodlandCollierFL34140US,0.0
250,106,Add%988 81st Street Marathon Monroe County FL%Gable.jpg,988 81st Street Marathon Monroe County Florida 33050 United States,988 81st Street Marathon Monroe County Florida 33050 United States,0.0,Mobile Home,1972.0,1995.0,Gable,Asphalt shingles (3-tab),Vinyl siding,1.0,98881stStreetMarathonMonroeCountyFlorida33050UnitedStates,0.0
251,475,Add%23084 Wahoo Ln Cudjoe Key Monroe FL%Gable.jpg,23084 Wahoo Ln Cudjoe Key Monroe FL 33042 US,23084 Wahoo Ln Cudjoe Key Monroe FL 33042 US,8.0,Single Family Residence,1984.0,1997.0,Gable,Standing Seam Metal,Stucco,1.0,23084WahooLnCudjoeKeyMonroeFL33042US,0.0
252,644,Add%31461 Avenue D Big Pine Key Monroe FL%Gable.jpg,31461 Avenue D Big Pine Key Monroe FL 33043 US,31461 Avenue D Big Pine Key Monroe FL 33043 US,8.0,Single Family Residence,1987.0,2007.0,Gable,Asphalt shingles (3-tab),Wood panel siding,1.0,31461AvenueDBigPineKeyMonroeFL33043US,0.0
253,605,Add%31478 Avenue E Big Pine Key Monroe County FL%Gable.jpg,31478 Avenue E Big Pine Key Monroe County Florida 33043 United States,31478 Avenue E Big Pine Key Monroe County Florida 33043 United States,12.0,Single Family Residence,2015.0,2015.0,Gable,Standing Seam Metal,Vinyl siding,1.0,31478AvenueEBigPineKeyMonroeCountyFlorida33043UnitedStates,0.0
254,43,Add%507 Goodland Drive W Goodland Collier County FL%Gable.jpg,507 Goodland Drive W Goodland Collier County Florida 34140 United States,507 Goodland Drive W Goodland Collier County Florida 34140 United States,2.25,Single Family Residence,1959.0,1959.0,Gable,Standing Seam Metal,Wood plank siding,1.0,507GoodlandDriveWGoodlandCollierCountyFlorida34140UnitedStates,0.0
255,265,Add%27417 Tobago Lane Ramrod Key Monroe County FL%Hip.jpg,27417 Tobago Lane Ramrod Key Monroe County Florida 33042 United States,27417 Tobago Lane Ramrod Key Monroe County Florida 33042 United States,8.0,Single Family Residence,2010.0,2010.0,Hip,Standing Seam Metal,Vinyl siding,1.0,27417TobagoLaneRamrodKeyMonroeCountyFlorida33042UnitedStates,0.0
256,512,Add%511 Goodland Drive W Goodland Collier County FL%Gable_Complex.jpg,511 Goodland Drive W Goodland Collier County Florida 34140 United States,511 Goodland Drive W Goodland Collier County Florida 34140 United States,8.0,Single Family Residence,1959.0,2003.0,"Gable,Complex",Corrugated metal,Wood panel siding,1.0,511GoodlandDriveWGoodlandCollierCountyFlorida34140UnitedStates,0.0
257,224,Add%30917 Malaga Ln Big Pine Key Monroe FL%Gable.jpg,30917 Malaga Ln Big Pine Key Monroe FL 33043 US,30917 Malaga Ln Big Pine Key Monroe FL 33043 US,8.0,Single Family Residence,1987.0,2002.0,Gable,Standing Seam Metal,Vinyl siding,1.0,30917MalagaLnBigPineKeyMonroeFL33043US,0.0
258,55,Add%411 Copeland Ave N Everglades City Collier FL%Gable.jpg,411 Copeland Ave N Everglades City Collier Florida 34139 USA,411 Copeland Ave N Everglades City Collier Florida 34139 USA,2.0,Single Family Residence,1940.0,1940.0,Gable,Asphalt shingles (laminated),Wood plank siding,1.0,411CopelandAveNEvergladesCityCollierFlorida34139USA,0.0
259,511,Add%31108 Avenue J Big Pine Key Monroe County FL%Flat.jpg,31108 Avenue J Big Pine Key Monroe County Florida 33043 United States,31108 Avenue J Big Pine Key Monroe County Florida 33043 United States,3.0,Mobile Home,1974.0,1994.0,Flat,Standing Seam Metal,Sheet metal,1.0,31108AvenueJBigPineKeyMonroeCountyFlorida33043UnitedStates,0.0
260,430,Add%314 Porter St Naples Collier FL%Hip.jpg,314 Porter St Naples Collier FL 34113 US,314 Porter St Naples Collier FL 34113 US,0.0,Single Family Residence,2002.0,2002.0,Hip,Asphalt shingles (laminated),Stucco,1.0,314PorterStNaplesCollierFL34113US,0.0
262,145,Add%1167 Flagship Dr Summerland Key Monroe FL%Gable.jpg,1167 Flagship Dr Summerland Key Monroe FL 33042 US,1167 Flagship Dr Summerland Key Monroe FL 33042 US,8.0,Single Family Residence,1979.0,1990.0,Gable,Standing Seam Metal,Stucco,1.0,1167FlagshipDrSummerlandKeyMonroeFL33042US,0.0
263,329,Add%3925 Hall Rd Big Pine Key Monroe FL%Gable.jpg,3925 Hall Rd Big Pine Key Monroe FL 33043 US,3925 Hall Rd Big Pine Key Monroe FL 33043 US,0.0,Single Family Residence,1972.0,1991.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,3925HallRdBigPineKeyMonroeFL33043US,0.0
264,533,Add%302 North Storter Avenue Everglades City Collier County FL%Hip.jpg,302 North Storter Avenue Everglades City Collier County Florida 34139 United States,302 North Storter Avenue Everglades City Collier County Florida 34139 United States,3.5,Single Family Residence,1925.0,2017.0,Hip,Corrugated metal,Wood plank siding,1.0,302NorthStorterAvenueEvergladesCityCollierCountyFlorida34139UnitedStates,0.0
265,236,Add%31486 Avenue G Big Pine Key Monroe FL%Gable.jpg,31486 Avenue G Big Pine Key Monroe FL 33043 US,31486 Avenue G Big Pine Key Monroe FL 33043 US,1.5,Mobile Home,1964.0,1989.0,Gable,EPDM rubber roof,Sheet metal,1.0,31486AvenueGBigPineKeyMonroeFL33043US,0.0
266,328,Add%632 Nassau Rd  Marco Island Collier County FL%Hip_Complex.jpg,632 Nassau Rd  Marco Island Collier County Florida 34145 United States,632 Nassau Rd  Marco Island Collier County Florida 34145 United States,0.0,Single Family Residence,1969.0,2012.0,"Hip,Complex",Tile (clay),Stucco,1.0,632NassauRdMarcoIslandCollierCountyFlorida34145UnitedStates,0.0
267,177,Add%1125 Chokoloskee Drive Chokoloskee Collier County FL%Gable.jpg,1125 Chokoloskee Drive Chokoloskee Collier County Florida 34138 United States,1125 Chokoloskee Drive Chokoloskee Collier County Florida 34138 United States,11.0,Single Family Residence,2008.0,2008.0,Gable,Standing Seam Metal,Vinyl siding,1.0,1125ChokoloskeeDriveChokoloskeeCollierCountyFlorida34138UnitedStates,0.0
268,139,Add%22572 Jolly Roger Dr Cudjoe Key Monroe FL%Gable.jpg,22572 Jolly Roger Dr Cudjoe Key Monroe FL 33042 US,22572 Jolly Roger Dr Cudjoe Key Monroe FL 33042 US,0.0,Single Family Residence,1963.0,2015.0,Gable,Standing Seam Metal,Stucco,2.0,22572JollyRogerDrCudjoeKeyMonroeFL33042US,0.0
270,521,Add%507 Copeland Avenue Everglades City Collier FL%Gable.jpg,507 Copeland Avenue Everglades City Collier Florida 34139 USA,507 Copeland Avenue Everglades City Collier Florida 34139 USA,2.0,Single Family Residence,1930.0,1930.0,Gable,Asphalt shingles (laminated),Vinyl siding,1.0,507CopelandAvenueEvergladesCityCollierFlorida34139USA,0.0
